Date,MktReturn
12/31/04,0.0899
12/31/05,0.03
12/31/06,0.1362
12/31/07,0.0353
12/31/08,-0.3849
12/31/09,0.2345
12/31/10,0.1278
12/31/11,0
12/31/12,0.1341
12/31/13,0.296
12/31/14,0.1139
12/31/15,-0.0073
12/31/16,0.0954
12/31/17,0.1942
12/31/18,-0.0624
12/31/19,0.2888
12/31/20,0.1626
12/31/21,0.2689
12/31/22,-0.1944
